RESPID,Willing,Q4,Registered,Unregistered_but_willing,Q14B,Q14C,Q14D,Q6A,Q6A1A,Q6A1B,Q6A1C,Q6A1D,Q6A1E,Q6A1F,Q6A1G,Q6BB,Q6BC,Q6BDA,Q6BDB,Q6BDC,Belief_body,Q12B,Q14FA,Q14G,Q15A,Q15B,Q15C,Q15D,Belief_Minorities,HU_Q16A,Q16B,HU_Q16B,Q16C,HU_Q16C,Belief_Costs,HU_Q16D,Q16E,HU_Q16E,Belief_Need,HU_Q16F,Belief_Doctors,HU_Q16G,Q16H,HU_Q16H,Belief_Undeserving,HU_Q16I,Q16J,HU_Q16J,Belief_Fair,HU_Q16K,Q16AA,Q17C,Q18A,Q18B,Q22A,Q22B,Q22C,Q22D,Q22E,Q22F,Q23A,Q23B,Q23C,Q29,,Q30,D1,D3,D4A,D12,D13,Coverage,D15,Income,Urban,Sex,AgeCat,EduCat,D4Married,D7Healthcare,D9LowIncome,Hispanic,RaceCat,RaceCALC,Region,Q4Q13UnregSupporter,Devout,Religion,DevReligion,CallGroup,Over50,Q23Any,Q26A2cat,Q26B2cat,Q1_miss,Q1_nomiss
603557,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,3,2,3,2,2,2,1,,1,1,2,2,1,1,1,1,7,1,1,3,1,1,0,0,0,2,2,2,0,1,1,1,N/A,1,0,3,N/A,1,1
603558,0,3,2,4,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,2,2,2,2,4,4,4,4,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,,1,1,5,2,1,1,1,1,6,1,1,2,3,1,0,0,0,2,2,1,N/A,1,2,2,N/A,0,0,N/A,N/A,2,2
603560,1,1,2,2,1,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,1,2,1,1,2,2,3,0,1,1,2,1,2,1,1,1,1,1,1,1,2,1,3,0,1,1,1,1,N/A,N/A,1,1,4,3,1,3,1,1,2,2,2,1,,1,2,3,1,1,1,1,1,2,0,2,1,2,0,0,1,0,1,1,3,1,1,1,1,N/A,0,0,N/A,N/A,2,2
603561,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,3,2,1,2,2,1,3,3,3,0,3,0,3,0,2,1,2,1,2,1,4,0,2,1,3,0,2,1,2,1,N/A,2,3,3,3,2,2,3,3,2,1,2,2,3,,3,2,3,1,1,1,2,N/A,4,1,2,1,2,0,0,0,0,1,1,1,0,0,3,0,N/A,0,1,N/A,N/A,2,2
603562,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,3,2,1,2,2,2,3,3,3,0,3,0,3,0,2,1,2,1,2,1,2,1,2,1,3,0,2,1,2,1,N/A,2,1,1,2,2,3,4,2,2,2,2,2,11,,2,2,3,6,1,3,1,2,4,1,2,1,2,0,0,0,0,5,5,3,0,0,11,0,N/A,0,0,8,N/A,2,2
603563,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,3,3,3,3,1,1,4,0,3,0,3,0,2,1,2,1,3,0,1,1,3,0,1,1,3,0,1,2,1,1,4,2,3,4,4,2,1,2,2,12,,4,2,3,6,1,1,1,1,6,1,2,1,2,0,0,0,0,4,4,3,0,0,12,0,N/A,0,1,10,8,1,1
603564,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,2,1,2,1,4,0,4,0,3,0,4,0,2,1,2,1,4,0,3,0,3,0,1,1,2,1,N/A,2,3,3,3,1,4,4,1,2,2,2,2,12,,1,1,3,1,3,1,2,N/A,5,1,1,3,2,0,1,0,1,1,1,1,0,1,12,12,N/A,1,0,N/A,N/A,1,1
603565,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,3,1,1,2,2,2,2,2,3,0,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,N/A,2,1,2,2,2,2,2,4,2,2,2,2,1,,1,1,5,1,1,2,1,1,2,0,1,1,3,0,0,1,0,1,1,2,0,1,1,1,N/A,0,0,N/A,N/A,1,1
603566,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,3,3,2,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,12,,2,2,6,2,1,7,1,3,1,N/A,2,5,4,1,0,1,0,3,3,N/A,0,0,12,0,N/A,N/A,0,N/A,N/A,1,1
603567,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,4,2,1,2,2,2,3,3,3,0,3,0,3,0,3,0,2,1,2,1,3,0,2,1,2,1,2,1,2,1,N/A,1,3,3,2,2,3,3,3,2,1,2,2,1,,2,2,3,2,1,3,1,1,4,0,2,1,2,1,0,0,0,1,1,2,0,0,1,0,N/A,0,1,7,N/A,2,2
603568,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,1,1,3,3,3,0,3,0,3,0,3,0,2,1,2,1,4,0,2,1,3,0,1,1,2,1,N/A,2,1,1,2,1,4,4,4,2,2,2,2,1,,1,2,5,1,1,6,1,5,8,1,2,1,3,0,0,0,0,1,1,2,0,1,1,1,N/A,0,0,N/A,N/A,1,1
603569,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,4,1,2,2,2,2,2,2,1,3,0,2,1,3,0,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,2,2,2,2,2,3,2,2,2,2,2,11,,3,2,3,1,1,1,1,2,2,1,2,1,2,0,0,1,0,1,1,2,0,0,11,0,N/A,0,0,N/A,N/A,1,1
603571,1,2,2,2,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,1,2,2,1,2,3,4,0,2,1,1,1,4,0,2,1,2,1,3,0,1,1,4,0,1,1,3,0,N/A,1,1,2,1,1,2,2,4,2,2,2,2,3,,1,1,3,1,2,1,2,N/A,7,1,1,1,2,0,0,0,1,3,1,4,1,1,3,3,N/A,0,0,N/A,N/A,1,1
603573,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,2,1,2,1,1,2,2,3,0,4,0,2,1,3,0,1,1,1,1,4,0,1,1,4,0,1,1,3,0,N/A,2,3,1,3,1,2,4,4,1,2,2,2,1,,1,2,5,1,1,2,1,1,6,1,2,1,3,0,0,0,0,1,1,3,0,1,1,1,N/A,0,0,10,N/A,1,1
603575,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,2,2,N/A,1,3,4,2,3,2,1,2,1,3,0,1,1,4,0,2,1,3,0,2,1,3,0,3,0,1,1,2,2,2,2,4,2,2,3,3,1,1,1,2,1,,1,1,6,2,1,1,1,3,7,1,1,2,4,1,1,0,0,1,1,4,0,1,1,1,N/A,0,1,N/A,N/A,1,1
603577,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,1,1,1,1,1,1,3,0,2,1,1,1,2,1,1,1,2,1,1,1,4,0,1,1,1,1,1,2,1,1,4,2,1,4,4,1,2,2,2,11,,1,2,5,2,1,1,1,5,3,0,2,1,3,1,0,1,0,3,3,3,0,1,11,11,N/A,0,0,N/A,N/A,1,1
603578,0,2,2,3,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,2,1,1,2,2,2,2,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,1,2,1,2,1,2,2,2,11,,1,1,2,1,1,1,1,2,1,1,1,1,1,0,0,1,0,2,2,3,1,1,11,11,N/A,0,0,N/A,10,1,1
603579,1,3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,3,3,1,2,3,2,2,2,2,1,2,1,3,0,3,0,3,0,2,1,3,0,3,0,3,0,2,1,4,0,2,2,2,2,2,2,2,2,4,4,2,2,2,3,,1,1,5,1,1,1,1,1,2,1,1,1,3,0,1,1,0,1,1,2,N/A,1,3,3,N/A,0,0,N/A,6,1,1
603580,0,2,2,3,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,1,1,1,2,4,4,4,4,2,1,3,0,4,0,1,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,3,3,3,3,2,1,3,2,2,2,2,5,,1,1,5,1,1,7,1,4,1,1,1,3,3,0,0,1,0,4,4,4,1,1,5,5,N/A,1,0,6,5,1,1
603581,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,1,1,1,2,1,1,2,2,2,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,4,4,2,2,2,2,1,,2,1,3,1,1,1,1,1,3,1,1,1,2,0,0,1,0,1,1,2,0,0,1,0,N/A,0,0,N/A,N/A,1,1
603582,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,4,1,1,2,1,1,1,2,2,1,4,0,4,0,2,1,2,1,1,1,4,0,1,1,4,0,1,1,2,1,1,1,3,3,3,2,4,4,3,1,2,2,2,1,,2,1,6,6,1,6,1,5,7,1,1,3,4,0,0,0,0,5,5,3,0,0,1,0,N/A,1,0,3,N/A,1,1
603583,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,4,2,4,4,2,1,4,0,3,0,2,1,2,1,1,1,3,0,1,1,1,1,2,1,2,1,1,2,1,1,4,2,2,4,4,1,2,2,2,1,,2,2,3,4,1,6,1,3,3,0,2,4,2,0,0,1,0,1,1,3,0,0,1,0,N/A,1,0,N/A,6,N/A,99
603584,1,2,2,2,1,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,3,1,2,2,3,1,2,4,0,3,0,3,0,2,1,3,0,1,1,3,0,2,1,1,1,4,0,3,0,N/A,1,2,1,2,3,2,3,4,1,2,2,2,2,,1,1,5,1,2,1,1,3,8,1,1,1,3,0,1,0,1,1,1,2,1,1,2,2,N/A,0,0,N/A,N/A,1,1
603585,1,2,2,2,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,1,2,2,1,3,3,2,1,2,1,3,0,4,0,2,1,2,1,3,0,2,1,3,0,1,1,3,0,1,1,1,3,2,2,4,4,4,1,2,2,2,12,,4,1,3,1,1,5,1,1,4,1,1,1,2,0,0,0,0,3,3,4,1,0,12,0,N/A,0,0,4,6,2,2
603586,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,3,2,1,2,2,2,2,2,2,1,2,1,2,1,2,1,2,1,3,0,3,0,2,1,2,1,3,0,3,0,2,1,3,3,2,3,2,3,2,3,2,2,2,13,,2,1,3,2,2,1,1,7,7,1,1,1,2,1,1,0,1,3,1,4,0,0,99,0,N/A,0,0,N/A,N/A,2,2
603587,0,3,2,3,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,3,1,1,2,2,1,3,3,4,0,4,0,4,0,4,0,2,1,1,1,4,0,1,1,3,0,3,0,2,1,N/A,1,3,3,3,1,3,4,1,1,2,2,2,9,,4,1,6,4,1,1,1,1,8,1,1,2,4,0,1,0,0,1,1,3,N/A,0,9,0,N/A,0,0,N/A,N/A,2,2
603588,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,4,2,1,2,2,2,3,3,2,1,4,0,4,0,3,0,2,1,2,1,3,0,1,1,3,0,2,1,2,1,2,2,3,3,4,2,4,4,4,2,2,2,2,10,,4,1,6,2,1,1,1,1,9,0,1,5,4,1,0,0,0,1,1,2,0,0,10,0,N/A,N/A,0,N/A,10,2,2
603589,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,1,2,2,1,2,3,4,0,4,0,2,1,4,0,1,1,3,0,3,0,3,0,4,0,1,1,4,0,N/A,2,3,3,1,2,1,4,1,1,2,2,2,11,,3,2,3,1,1,1,2,N/A,2,1,2,1,2,0,0,1,0,4,4,2,0,0,11,0,N/A,0,0,N/A,N/A,1,1
603590,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,4,1,1,2,1,1,2,2,2,1,4,0,2,1,2,1,2,1,1,1,3,0,2,1,3,0,1,1,2,1,2,2,3,3,3,2,3,4,4,2,2,2,2,3,,2,1,6,2,1,6,1,3,6,1,1,4,4,1,0,0,0,4,4,3,0,0,3,0,N/A,1,0,N/A,N/A,1,1
603591,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,4,1,1,2,1,1,2,2,2,1,4,0,2,1,3,0,1,1,1,1,4,0,1,1,3,0,1,1,2,1,1,2,3,3,3,1,4,4,4,2,2,2,2,12,,4,2,5,2,1,1,1,1,9,1,2,2,3,1,0,0,0,1,1,4,0,0,12,0,N/A,0,0,N/A,N/A,2,2
603592,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,2,2,1,2,1,1,2,2,4,0,3,0,2,1,3,0,2,1,2,1,1,1,3,0,2,1,3,0,1,1,N/A,1,1,2,1,1,2,2,3,3,2,2,2,7,,1,1,2,1,1,2,1,2,1,1,1,1,1,0,0,1,0,2,2,3,0,1,7,7,N/A,0,0,N/A,N/A,1,1
603593,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,1,1,2,2,3,0,3,0,3,0,3,0,2,1,1,1,3,0,1,1,3,0,2,1,2,1,N/A,2,1,1,3,2,3,4,4,1,2,2,2,2,,1,2,4,1,1,2,1,2,1,1,2,2,2,0,0,1,0,1,1,3,0,1,2,2,N/A,0,0,N/A,N/A,1,1
603594,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,2,1,2,2,3,0,4,0,4,0,4,0,2,1,1,1,4,0,1,1,4,0,1,1,2,1,N/A,2,1,1,1,1,4,4,4,1,1,1,2,3,,1,1,2,3,1,5,1,1,2,0,1,1,1,0,0,1,0,1,1,1,0,1,3,3,N/A,0,1,N/A,8,2,2
603595,0,2,2,3,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,1,1,1,2,2,2,3,4,3,0,2,1,2,1,3,0,2,1,2,1,4,0,2,1,3,0,1,1,2,1,N/A,2,3,3,2,1,3,3,3,2,2,2,2,11,,1,2,5,2,1,2,1,2,3,1,2,1,3,1,1,1,0,1,1,1,1,1,11,11,N/A,0,0,N/A,N/A,2,2
603596,1,1,2,2,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,1,2,3,3,3,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,N/A,2,2,2,3,3,3,3,3,3,2,2,2,5,,2,1,2,2,1,1,1,1,2,1,1,2,1,1,0,1,0,1,1,3,1,0,5,0,N/A,0,0,N/A,N/A,1,1
603598,1,2,2,2,1,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,1,2,2,1,3,3,3,0,3,0,3,0,3,0,2,1,2,1,3,0,2,1,3,0,2,1,2,1,N/A,2,1,1,3,2,3,3,3,2,2,2,2,3,,1,1,5,2,4,6,1,4,6,1,1,4,3,1,0,0,1,1,1,3,1,1,3,3,N/A,1,0,6,6,2,2
603599,1,2,2,2,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,1,2,3,1,2,3,3,0,4,0,3,0,1,1,2,1,2,1,3,0,3,0,3,0,3,0,3,0,N/A,2,2,1,1,2,2,4,3,3,2,2,2,1,,1,1,2,1,1,4,2,N/A,1,0,1,1,1,0,0,1,0,1,1,2,1,1,1,1,N/A,0,0,N/A,N/A,2,2
603600,1,2,2,1,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,1,2,1,1,2,2,2,1,2,1,2,1,3,0,2,1,2,1,3,0,2,1,3,0,2,1,2,1,1,2,1,1,2,2,2,3,2,2,2,2,2,1,,2,2,3,1,1,5,1,1,6,1,2,1,2,0,0,0,0,3,3,2,1,0,1,0,N/A,0,0,N/A,N/A,2,2
603601,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,1,1,2,2,2,1,4,0,2,1,3,0,2,1,1,1,4,0,1,1,4,0,1,1,2,1,1,2,1,1,3,1,3,4,4,1,2,2,2,3,,2,1,5,6,1,1,1,1,8,1,1,1,3,0,0,0,0,3,3,2,0,0,3,0,N/A,0,0,N/A,N/A,1,1
603602,1,2,2,2,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,1,2,2,3,3,2,3,0,3,0,3,0,3,0,3,0,2,1,3,0,2,1,2,1,3,0,3,0,N/A,1,1,3,1,2,2,4,2,3,2,2,2,3,,2,1,5,2,2,1,1,7,7,1,1,1,3,1,0,0,1,3,1,3,1,0,3,0,N/A,0,0,N/A,N/A,1,1
603603,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,3,1,1,2,3,3,3,3,2,1,N/A,N/A,3,0,2,1,2,1,3,0,3,0,2,1,3,0,3,0,2,1,2,2,2,2,2,3,2,2,2,2,2,N/A,2,1,,2,2,3,1,1,4,2,N/A,4,1,2,1,2,0,0,0,0,3,3,3,0,0,1,0,N/A,0,0,N/A,N/A,1,1
603604,0,2,2,3,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,1,1,1,2,4,1,3,4,3,0,4,0,4,0,2,1,4,0,3,0,1,1,1,1,4,0,3,0,4,0,N/A,1,1,1,4,4,2,4,3,3,1,2,2,13,,1,1,4,2,3,1,1,6,6,1,1,1,2,1,1,0,1,1,1,3,1,1,99,0,N/A,0,1,N/A,6,1,1
603605,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,2,1,1,2,1,1,4,4,2,1,2,1,4,0,4,0,2,1,3,0,2,1,1,1,3,0,2,1,2,1,2,1,1,1,3,1,3,4,3,2,2,2,2,10,,3,1,2,1,1,2,1,3,2,1,1,1,1,0,0,1,0,1,1,4,0,0,10,0,N/A,0,0,N/A,4,2,2
603606,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,2,1,3,4,2,1,4,0,4,0,3,0,2,1,1,1,4,0,1,1,4,0,1,1,2,1,1,2,1,1,2,1,4,4,4,2,1,1,2,1,,3,1,5,2,1,1,1,1,6,1,1,1,3,1,0,0,0,1,1,1,0,0,1,0,N/A,0,1,6,N/A,1,1
