RESPID,Willing,Q4,Registered,Unregistered_but_willing,Q14B,Q14C,Q14D,Q6A,Q6A1A,Q6A1B,Q6A1C,Q6A1D,Q6A1E,Q6A1F,Q6A1G,Q6BB,Q6BC,Q6BDA,Q6BDB,Q6BDC,Belief_body,Q12B,Q14FA,Q14G,Q15A,Q15B,Q15C,Q15D,Belief_Minorities,HU_Q16A,Q16B,HU_Q16B,Q16C,HU_Q16C,Belief_Costs,HU_Q16D,Q16E,HU_Q16E,Belief_Need,HU_Q16F,Belief_Doctors,HU_Q16G,Q16H,HU_Q16H,Belief_Undeserving,HU_Q16I,Q16J,HU_Q16J,Belief_Fair,HU_Q16K,Q16AA,Q17C,Q18A,Q18B,Q22A,Q22B,Q22C,Q22D,Q22E,Q22F,Q23A,Q23B,Q23C,Q29,,Q30,D1,D3,D4A,D12,D13,Coverage,D15,Income,Urban,Sex,AgeCat,EduCat,D4Married,D7Healthcare,D9LowIncome,Hispanic,RaceCat,RaceCALC,Region,Q4Q13UnregSupporter,Devout,Religion,DevReligion,CallGroup,Over50,Q23Any,Q26A2cat,Q26B2cat,Q1_miss,Q1_nomiss
100016,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,3,1,1,2,4,2,4,4,5,N/A,4,0,2,1,5,N/A,2,1,2,1,2,1,1,1,5,N/A,4,0,5,N/A,N/A,2,3,3,5,5,2,4,3,2,2,2,2,1,,1,1,5,2,1,6,1,3,10,0,1,4,3,1,0,0,0,1,1,3,0,1,1,1,1,1,0,N/A,N/A,2,2
100037,0,4,2,4,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,1,1,1,2,1,1,2,5,4,0,4,0,4,0,4,0,1,1,1,1,4,0,1,1,4,0,1,1,1,1,N/A,1,3,3,4,1,1,1,4,1,4,2,2,1,,1,2,2,2,1,1,1,1,3,1,2,3,1,1,0,1,0,1,1,3,N/A,1,1,1,2,1,0,N/A,8,2,2
100039,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,3,1,1,2,1,1,2,4,2,1,3,0,5,N/A,5,N/A,1,1,1,1,4,0,1,1,4,0,1,1,1,1,1,2,1,1,3,1,3,4,4,1,2,2,2,9,,3,2,6,1,1,1,1,1,5,1,2,1,4,0,1,0,0,1,1,4,0,0,9,0,2,0,0,N/A,N/A,2,2
100043,1,1,2,2,1,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,1,1,2,2,1,2,3,3,0,4,0,3,0,3,0,1,1,1,1,4,0,1,1,4,0,1,1,2,1,N/A,2,3,3,3,1,4,4,4,1,2,1,2,2,,1,1,4,2,1,1,1,1,6,N/A,1,2,2,1,0,0,0,1,1,4,1,1,2,2,2,0,1,N/A,N/A,2,2
100053,0,3,2,4,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,2,1,2,2,1,1,1,4,1,1,2,1,1,1,4,0,2,1,1,1,4,0,4,0,2,1,4,0,4,0,2,2,3,3,3,3,3,3,3,3,2,2,2,12,,5,1,5,2,1,2,1,2,5,0,1,3,3,1,0,0,0,1,1,3,N/A,0,12,0,1,1,0,N/A,N/A,1,1
100073,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,3,1,2,3,3,0,3,0,4,0,5,N/A,4,0,2,1,3,0,1,1,4,0,1,1,5,N/A,N/A,2,3,1,3,2,3,4,4,2,2,2,2,3,,1,1,3,2,1,1,1,1,8,1,1,3,2,1,0,0,0,1,1,2,0,1,3,3,2,1,0,N/A,N/A,2,2
100080,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,5,1,1,2,1,1,2,4,5,N/A,4,0,5,N/A,5,N/A,1,1,5,N/A,4,0,1,1,4,0,1,1,2,1,N/A,2,1,1,1,1,4,4,2,5,1,2,2,11,,2,1,5,2,1,2,1,1,9,1,1,2,3,1,0,0,0,1,1,1,0,0,11,0,2,0,1,N/A,N/A,2,2
100094,0,2,2,3,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,1,1,1,2,3,2,3,4,5,N/A,1,1,4,0,1,1,3,0,5,N/A,1,1,1,1,5,N/A,3,0,5,N/A,N/A,1,2,2,4,4,3,3,1,1,2,2,2,9,,3,1,4,2,1,1,1,1,4,N/A,1,2,2,1,0,0,0,1,1,4,1,0,9,0,1,0,0,N/A,N/A,2,2
100111,1,2,2,2,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,1,2,2,2,2,4,4,2,1,4,0,2,1,2,1,2,1,1,1,2,1,1,1,4,0,2,1,3,0,1,3,3,3,4,3,2,4,3,1,2,1,2,11,,1,2,6,4,2,4,1,2,11,1,2,2,4,0,0,0,1,3,1,1,1,1,11,11,1,0,1,N/A,N/A,2,2
100116,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,2,1,2,2,1,2,4,5,N/A,1,1,3,0,5,N/A,1,1,5,N/A,5,N/A,1,1,5,N/A,1,1,5,N/A,N/A,2,1,1,1,5,1,4,4,1,2,2,2,13,,2,1,6,2,1,6,1,1,8,N/A,1,3,4,1,0,0,0,1,1,4,0,0,99,0,2,1,0,N/A,N/A,1,1
100117,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,3,3,1,2,1,1,2,2,3,0,2,1,4,0,5,N/A,1,1,1,1,4,0,1,1,3,0,1,1,5,N/A,N/A,2,3,3,3,1,4,4,4,1,1,2,2,12,,1,2,5,2,1,1,2,N/A,6,1,2,3,3,1,0,0,0,1,1,4,0,1,12,12,1,1,1,N/A,10,1,1
100133,0,1,2,5,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,4,4,3,2,4,1,4,4,5,N/A,4,0,5,N/A,1,1,5,N/A,1,1,1,1,1,1,1,1,1,1,1,1,N/A,3,4,1,5,1,5,4,5,5,1,1,2,11,,1,2,1,4,1,6,2,N/A,1,1,2,4,1,0,0,1,0,2,2,1,1,1,11,11,1,1,1,N/A,N/A,2,2
100140,1,1,2,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1,2,2,1,2,1,2,4,0,4,0,3,0,3,0,3,0,1,1,4,0,1,1,4,0,1,1,3,0,N/A,2,1,3,4,1,4,4,1,3,1,1,1,10,,4,2,5,2,1,7,1,3,3,1,2,2,3,1,0,1,0,1,1,4,1,0,10,0,1,0,1,N/A,N/A,1,1
100143,0,1,2,5,N/A,N/A,N/A,2,2,2,2,2,2,2,2,2,N/A,N/A,N/A,N/A,1,1,1,2,2,1,2,2,1,1,4,0,4,0,4,0,1,1,1,1,4,0,1,1,5,N/A,1,1,5,N/A,1,1,2,2,4,5,4,4,4,1,2,2,2,1,,1,1,5,2,1,6,1,1,5,N/A,1,4,3,1,0,0,0,1,1,4,1,1,1,1,2,1,0,N/A,N/A,2,2
100161,0,2,2,5,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,5,1,1,2,5,5,3,5,2,1,1,1,1,1,5,N/A,1,1,1,1,5,N/A,1,1,5,N/A,1,1,1,1,1,3,4,4,2,2,4,3,3,5,2,1,2,1,,1,2,3,4,1,6,1,3,11,N/A,2,4,2,0,0,0,0,1,1,4,1,1,1,1,2,1,1,N/A,N/A,1,1
100163,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,2,1,2,1,1,2,2,3,0,3,0,1,1,3,0,2,1,2,1,3,0,2,1,2,1,1,1,2,1,N/A,2,3,3,2,1,2,4,3,5,2,2,2,1,,1,1,3,5,1,6,1,1,2,1,1,4,2,0,0,1,0,1,1,3,0,1,1,1,2,1,0,N/A,N/A,1,1
100187,0,2,2,3,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,2,1,1,2,2,2,3,4,3,0,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,1,1,4,0,1,1,2,1,N/A,3,4,4,5,5,5,5,5,5,5,5,3,7,,1,2,3,1,1,1,4,N/A,10,N/A,2,1,2,0,0,0,0,2,2,4,1,1,7,7,1,0,0,N/A,N/A,2,2
100199,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,1,1,1,2,1,1,1,1,3,0,4,0,4,0,4,0,1,1,1,1,1,1,1,1,3,0,1,1,5,N/A,N/A,2,1,1,1,1,5,2,3,1,2,2,2,1,,1,2,2,2,1,2,1,2,3,N/A,2,3,1,1,0,1,0,1,1,4,0,1,1,1,1,1,0,N/A,N/A,2,2
100215,1,2,2,2,1,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1,1,2,2,2,2,3,3,0,4,0,2,1,3,0,1,1,1,1,4,0,1,1,4,0,1,1,2,1,N/A,2,3,3,3,1,4,4,4,1,2,1,2,1,,1,1,3,2,1,1,1,1,7,N/A,1,3,2,1,0,0,0,1,1,3,1,1,1,1,2,1,1,N/A,N/A,2,2
100237,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,1,1,1,1,4,0,4,0,4,0,2,1,1,1,2,1,4,0,1,1,4,0,1,1,2,1,N/A,2,3,3,1,1,3,4,4,1,2,2,2,10,,2,2,3,1,1,2,1,1,2,1,2,1,2,0,1,1,0,1,1,2,0,0,10,0,2,0,0,N/A,N/A,2,2
100243,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,1,1,2,2,4,0,4,0,4,0,5,N/A,2,1,1,1,4,0,1,1,5,N/A,1,1,2,1,N/A,2,3,3,3,1,4,4,1,1,1,2,2,3,,1,2,3,2,1,3,1,1,4,0,2,1,2,1,0,0,0,1,1,2,0,1,3,3,1,0,1,7,N/A,1,1
100244,0,2,2,3,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,2,1,1,2,2,2,3,3,4,0,3,0,3,0,5,N/A,3,0,2,1,3,0,2,1,5,N/A,5,N/A,2,1,N/A,1,3,3,1,1,2,4,1,1,2,2,2,1,,1,2,2,5,1,6,1,3,1,1,2,4,1,0,0,1,0,1,1,3,1,1,1,1,2,1,0,5,5,1,1
100246,0,2,2,3,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,1,1,2,2,2,2,2,2,4,0,4,0,4,0,4,0,1,1,1,1,4,0,1,1,4,0,2,1,1,1,N/A,1,2,2,1,1,4,1,1,1,2,2,2,10,,1,2,3,1,1,2,2,N/A,2,1,2,1,2,0,0,1,0,5,5,4,1,1,10,10,1,0,0,9,N/A,1,1
100259,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,3,2,1,2,2,2,2,2,1,1,4,0,2,1,5,N/A,1,1,1,1,4,0,1,1,4,0,1,1,5,N/A,1,2,3,3,3,2,4,3,4,2,2,2,2,1,,1,2,6,1,1,1,1,1,8,0,2,3,4,0,0,0,0,5,5,3,0,1,1,1,1,1,0,N/A,N/A,1,1
100271,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,3,2,1,2,2,2,5,3,3,0,3,0,3,0,3,0,2,1,5,N/A,2,1,1,1,3,0,1,1,2,1,N/A,2,1,1,5,1,4,4,4,2,1,2,2,9,,4,1,4,2,1,1,1,1,7,1,1,1,2,1,0,0,0,1,1,4,0,0,9,0,2,0,1,N/A,N/A,2,2
100272,1,1,2,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,1,1,2,2,2,2,2,5,N/A,4,0,3,0,4,0,2,1,2,1,3,0,2,1,4,0,1,1,2,1,N/A,3,3,3,2,2,4,4,4,5,2,2,2,2,,1,1,3,2,1,6,1,3,6,N/A,1,4,2,1,0,0,0,1,1,4,1,1,2,2,1,1,0,N/A,N/A,2,2
100281,0,3,2,4,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,3,1,1,2,2,1,3,3,1,1,4,0,2,1,4,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,3,4,3,4,2,4,1,1,2,2,1,,1,1,2,1,1,1,2,N/A,11,N/A,1,1,1,0,0,0,0,1,1,3,N/A,1,1,1,2,0,1,N/A,9,2,2
100282,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,3,2,2,1,2,2,4,0,3,0,3,0,5,N/A,5,N/A,2,1,4,0,1,1,5,N/A,1,1,2,1,N/A,2,3,3,2,1,4,4,4,1,2,2,2,3,,2,1,2,2,1,7,1,3,2,1,1,2,1,1,0,1,0,1,1,3,0,0,3,0,1,0,0,N/A,N/A,2,2
100310,0,2,3,4,N/A,N/A,N/A,2,2,3,2,2,2,2,2,2,N/A,N/A,N/A,N/A,1,3,1,2,4,2,2,4,3,0,3,0,3,0,3,0,2,1,2,1,3,0,2,1,3,0,2,1,2,1,N/A,2,3,3,3,2,2,3,2,3,2,2,2,1,,2,2,2,2,1,6,1,2,11,N/A,2,4,1,1,0,0,0,2,2,4,N/A,0,1,0,1,1,0,6,N/A,2,2
100312,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,5,5,5,4,1,1,4,0,1,1,4,0,5,N/A,1,1,4,0,1,1,4,0,1,1,5,N/A,1,2,1,1,4,1,4,4,4,1,2,2,2,3,,4,1,6,2,1,1,1,1,8,1,1,2,4,1,1,0,0,1,1,3,0,0,3,0,1,0,0,3,6,1,1
100315,0,2,2,3,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,4,1,1,2,2,2,2,3,3,0,3,0,5,N/A,4,0,2,1,1,1,3,0,1,1,4,0,1,1,4,0,N/A,1,2,2,4,2,4,4,4,1,2,2,2,11,,2,1,6,1,1,1,1,1,11,1,1,1,4,0,1,0,0,1,1,4,1,0,11,0,1,0,0,N/A,N/A,1,1
100319,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,3,1,1,2,2,2,2,2,5,N/A,4,0,3,0,5,N/A,5,N/A,1,1,1,1,4,0,5,N/A,1,1,5,N/A,N/A,1,3,3,5,1,4,4,4,1,2,2,2,10,,3,1,5,2,1,6,1,1,5,1,1,3,3,1,0,0,0,1,1,1,0,0,10,0,1,1,0,N/A,N/A,2,2
100324,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,1,1,2,2,5,N/A,4,0,5,N/A,5,N/A,1,1,1,1,1,1,1,1,5,N/A,1,1,1,1,N/A,2,3,3,3,1,4,4,4,1,2,2,1,3,,2,1,5,1,1,1,1,1,3,1,1,1,3,0,0,1,0,2,2,4,0,0,3,0,1,0,1,N/A,N/A,1,1
100336,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,2,1,1,2,2,2,2,3,1,1,3,0,4,0,2,1,1,1,1,1,1,1,1,1,5,N/A,1,1,2,1,1,2,1,1,3,1,3,4,1,1,2,2,2,1,,1,1,3,6,1,2,2,N/A,4,N/A,1,3,2,0,0,0,0,1,1,4,0,1,1,1,1,1,0,N/A,N/A,2,2
100361,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,1,2,3,2,2,4,2,1,4,0,4,0,4,0,4,0,4,0,4,0,1,1,4,0,1,1,1,1,1,2,3,3,2,3,4,4,4,1,2,2,2,2,,1,2,5,2,1,6,1,3,11,1,2,4,3,1,0,0,0,1,1,3,0,1,2,2,1,1,0,N/A,N/A,2,2
100368,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,3,2,3,4,1,1,2,1,4,0,4,0,1,1,1,1,1,1,1,1,6,N/A,1,1,4,0,1,2,3,3,4,1,4,4,4,1,1,2,2,3,,1,2,2,2,1,6,1,3,5,1,2,4,1,1,0,0,0,1,1,1,0,1,3,3,2,1,1,N/A,N/A,1,1
100369,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,3,1,1,2,2,2,3,3,2,1,3,0,3,0,3,0,2,1,4,0,3,0,1,1,3,0,2,1,2,1,1,2,1,3,3,2,3,3,3,3,2,2,2,2,,1,2,5,2,5,1,1,1,11,1,2,2,3,1,0,0,1,4,1,2,0,1,2,2,1,0,0,4,8,1,1
100382,0,2,2,3,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,4,1,1,2,3,3,3,4,5,N/A,1,1,1,1,5,N/A,1,1,5,N/A,1,1,1,1,5,N/A,3,0,5,N/A,N/A,1,1,1,1,5,4,4,4,1,2,2,2,11,,2,1,3,2,5,8,1,1,4,1,1,3,2,1,0,0,1,1,1,3,1,0,11,0,2,1,0,N/A,9,2,2
100420,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,3,1,1,2,1,1,1,1,4,0,4,0,4,0,4,0,5,N/A,1,1,4,0,1,1,4,0,1,1,1,1,N/A,2,1,1,1,1,4,4,4,1,1,2,2,13,,2,1,4,2,1,6,1,9,11,1,1,4,2,1,0,0,0,5,5,2,0,0,99,0,2,1,1,10,7,1,1
100424,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,3,1,1,2,1,1,2,2,3,0,4,0,4,0,4,0,2,1,1,1,3,0,1,1,4,0,1,1,2,1,N/A,2,3,1,3,1,4,4,3,2,1,3,2,11,,1,2,5,1,1,2,2,N/A,1,1,2,1,3,0,0,1,0,1,1,3,0,1,11,11,2,0,1,N/A,N/A,1,1
100431,1,5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,3,1,1,2,2,1,2,2,2,1,2,1,2,1,5,N/A,2,1,2,1,2,1,2,1,5,N/A,2,1,2,1,2,1,2,2,2,2,4,4,5,5,2,1,2,3,,1,1,3,1,1,1,1,1,4,N/A,1,2,2,0,0,0,0,1,1,4,N/A,1,3,3,1,0,1,6,8,2,2
100439,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,2,1,2,3,2,1,4,0,4,0,4,0,2,1,2,1,3,0,2,1,2,1,1,1,2,1,1,2,3,3,4,1,3,4,4,2,2,2,2,1,,2,1,6,4,1,2,1,1,8,1,1,4,4,0,0,0,0,1,1,1,0,0,1,0,1,1,0,N/A,N/A,1,1
100448,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,3,4,4,4,2,1,4,0,4,0,2,1,2,1,2,1,4,0,2,1,4,0,1,1,2,1,1,2,3,3,2,1,4,4,4,1,2,2,2,9,,3,2,6,4,1,1,1,1,8,1,2,3,4,0,0,0,0,1,1,3,0,0,9,0,1,1,0,N/A,N/A,2,2
100471,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,1,1,2,1,2,2,4,0,4,0,4,0,4,0,1,1,1,1,4,0,1,1,4,0,1,1,1,1,N/A,2,3,3,1,1,4,4,4,2,1,1,2,1,,3,2,6,2,1,1,1,1,7,0,2,1,4,1,1,0,0,1,1,3,0,0,1,0,1,0,1,7,7,1,1
100473,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,2,1,2,2,2,1,4,0,3,0,2,1,1,1,1,1,4,0,2,1,6,N/A,1,1,2,1,1,2,3,3,3,2,4,3,4,1,1,2,2,2,,1,2,5,2,1,2,1,1,3,0,2,3,3,1,0,1,0,1,1,1,0,1,2,2,1,1,1,N/A,N/A,1,1
100488,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,1,1,2,2,2,1,2,1,4,0,5,N/A,2,1,2,1,3,0,1,1,5,N/A,1,1,2,1,1,2,3,3,2,2,3,4,4,1,2,2,2,1,,1,2,5,2,1,6,1,2,11,N/A,2,5,3,1,0,0,0,1,1,4,0,1,1,1,1,N/A,0,N/A,N/A,2,2
100491,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,1,1,2,3,5,N/A,4,0,2,1,5,N/A,2,1,1,1,4,0,1,1,4,0,1,1,5,N/A,N/A,2,3,3,4,1,4,4,4,1,1,2,2,10,,4,1,5,1,1,2,2,N/A,10,1,1,1,3,0,0,0,0,1,1,1,0,0,10,0,1,0,1,N/A,N/A,1,1
100502,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,4,1,1,2,1,1,2,2,5,N/A,4,0,2,1,5,N/A,2,1,2,1,3,0,1,1,5,N/A,1,1,2,1,N/A,2,3,3,2,1,2,4,2,2,1,3,2,3,,2,2,6,1,2,8,1,1,9,1,2,1,4,0,0,0,1,2,1,4,0,0,3,0,2,0,1,N/A,8,1,1
100506,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,1,1,1,1,2,1,4,0,4,0,4,0,1,1,1,1,4,0,1,1,4,0,1,1,1,1,1,2,2,2,3,1,4,4,1,1,2,1,2,1,,1,1,5,2,1,2,1,1,7,1,1,4,3,1,0,0,0,1,1,1,0,1,1,1,1,1,1,N/A,N/A,1,1
100520,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,4,1,2,1,1,1,1,5,N/A,4,0,5,N/A,4,0,5,N/A,1,1,4,0,1,1,5,N/A,1,1,5,N/A,N/A,2,3,3,5,1,4,4,4,1,2,2,2,11,,1,1,3,2,1,1,1,5,5,0,1,2,2,1,0,0,0,1,1,2,0,1,11,11,1,0,0,N/A,N/A,2,2
100539,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,2,1,2,2,2,1,2,1,4,0,5,N/A,2,1,1,1,2,1,1,1,2,1,1,1,3,0,1,2,3,3,3,2,4,4,4,1,2,1,2,1,,2,2,5,2,1,6,1,3,1,N/A,2,4,3,1,0,1,0,1,1,4,0,0,1,0,2,1,1,N/A,N/A,1,1
100554,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,2,1,2,3,1,2,2,5,N/A,3,0,5,N/A,5,N/A,5,N/A,2,1,4,0,1,1,4,0,1,1,2,1,N/A,2,1,1,2,1,5,4,4,1,2,2,2,11,,2,2,4,2,1,2,2,N/A,10,1,2,1,2,1,0,0,0,1,1,3,0,0,11,0,2,0,0,N/A,N/A,2,2
100560,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,3,1,1,2,2,1,3,3,5,N/A,3,0,2,1,5,N/A,2,1,5,N/A,5,N/A,2,1,5,N/A,1,1,5,N/A,N/A,2,3,3,4,2,2,4,5,2,2,2,2,11,,2,1,5,1,1,10,4,N/A,11,N/A,1,1,3,0,1,0,0,1,1,4,0,0,11,0,2,0,0,8,N/A,2,2
100561,1,2,2,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1,3,2,1,1,1,2,5,N/A,2,1,5,N/A,5,N/A,5,N/A,5,N/A,3,0,2,1,3,0,1,1,5,N/A,N/A,3,3,3,3,2,3,4,3,5,1,2,2,3,,2,1,5,1,1,1,1,1,9,1,1,2,3,0,0,0,0,1,1,3,1,0,3,0,2,0,1,N/A,N/A,2,2
100594,0,2,2,3,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,3,1,1,2,1,1,2,2,5,N/A,4,0,4,0,2,1,4,0,1,1,4,0,1,1,4,0,3,0,5,N/A,N/A,1,3,3,2,1,2,4,4,1,2,1,2,1,,1,2,4,5,1,1,1,1,4,0,2,4,2,0,0,0,0,1,1,3,1,1,1,1,1,1,1,4,6,2,2
100615,0,2,2,3,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,3,2,1,2,2,2,2,2,2,1,3,0,4,0,5,N/A,1,1,1,1,4,0,1,1,5,N/A,3,0,5,N/A,1,1,3,3,5,1,4,4,1,1,2,2,2,1,,2,2,6,2,1,6,1,1,3,1,2,4,4,1,0,1,0,1,1,3,1,0,1,0,1,1,0,N/A,9,2,2
100620,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,1,1,2,2,4,0,4,0,4,0,4,0,1,1,1,1,4,0,1,1,1,1,1,1,2,1,N/A,2,1,1,3,1,4,4,4,1,1,2,2,1,,1,1,5,2,1,2,1,3,6,1,1,4,3,1,0,0,0,1,1,4,0,1,1,1,1,1,1,N/A,N/A,1,1
